publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,77,74.91,69.94,0.934,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,63,74.39,67.10,0.902,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,57,73.66,58.61,0.796,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,73,73.25,69.43,0.948,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,7,72.68,70.19,0.966,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,29,72.60,70.00,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,10,72.44,65.10,0.899,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,65,71.54,65.13,0.910,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,27,68.88,67.05,0.973,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,81,67.49,61.47,0.911,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,70,63.19,61.27,0.970,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,16,60.82,58.34,0.959,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,23,59.88,55.93,0.934,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,76,59.03,53.93,0.914,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,1,65.57,63.07,0.962,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,2,66.72,64.52,0.967,,,,,,,,
Colombier et al. 2017a,Stromboli,"2011, Strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,3,68.22,65.80,0.965,,,,,,,,
